,date,open,high,low,close,volume,open_int
248,2023-12-27,19.25,19.25,10.75,16.75,2369,3747
249,2023-12-28,17.5,21.5,10.75,12.75,3376,3777
250,2023-12-29,19.75,21.75,0.1,0.1,12691,0
251,2024-01-02,56.75,62.0,49.0,57.75,95,220
252,2024-01-03,69.75,70.25,59.0,59.0,261,890
253,2024-01-04,70.25,79.25,59.25,59.75,133,133
254,2024-01-05,53.75,73.25,53.5,59.0,463,249
255,2024-01-08,28.25,52.5,22.0,52.0,995,2100
256,2024-01-09,43.75,54.25,42.75,50.5,300,665
257,2024-01-10,37.0,52.0,35.25,47.5,703,1697
258,2024-01-11,57.0,57.0,28.5,42.5,401,1410
259,2024-01-12,37.75,54.75,37.5,42.25,872,1729
260,2024-01-16,51.25,51.25,36.25,42.75,1025,2672
261,2024-01-17,44.25,44.75,36.75,44.75,142,887
262,2024-01-18,25.75,43.25,25.0,42.0,240,670
263,2024-01-19,21.5,39.25,17.75,37.0,374,903
264,2024-01-22,37.25,46.0,33.0,33.75,660,984
265,2024-01-23,30.25,35.0,24.5,32.25,270,2131
266,2024-01-24,32.5,48.5,24.75,28.25,948,4169
267,2024-01-25,20.25,32.0,20.25,30.25,161,1688
268,2024-01-26,25.75,33.5,19.75,22.5,952,1864
269,2024-01-29,8.3,26.0,8.2,24.25,1353,3292
270,2024-01-30,23.25,24.25,10.25,18.75,4105,3430
271,2024-01-31,63.25,63.25,0.43,0.43,607,0
272,2024-02-01,40.75,76.75,39.5,60.0,341,701
273,2024-02-02,48.0,67.25,40.25,58.75,217,868
274,2024-02-05,62.25,63.5,50.75,55.5,177,500
275,2024-02-06,53.5,55.5,48.25,54.0,187,1945
276,2024-02-07,31.0,50.0,31.0,47.25,335,1636
277,2024-02-08,47.0,47.0,43.0,46.75,120,1648
278,2024-02-09,39.5,50.5,38.5,48.75,274,937
279,2024-02-12,48.5,61.5,45.0,47.25,279,986
280,2024-02-13,50.25,56.0,37.0,48.25,549,2019
281,2024-02-14,26.0,42.5,26.0,42.0,258,1687
282,2024-02-15,28.0,40.25,28.0,39.75,1888,3958
283,2024-02-16,59.25,64.5,40.5,40.5,223,1642
284,2024-02-20,45.5,47.25,32.0,39.75,1243,2088
285,2024-02-21,31.75,45.75,21.5,34.75,1363,5837
286,2024-02-22,6.35,34.0,6.35,29.75,3762,3758
287,2024-02-23,31.0,41.75,23.0,25.25,1569,3739
288,2024-02-26,36.5,39.25,20.75,21.0,112,753
289,2024-02-27,15.25,18.75,9.95,17.0,600,939
290,2024-02-28,21.5,21.5,9.5,14.75,2256,1013
291,2024-02-29,5.65,14.25,1.05,3.75,43639,0
292,2024-03-01,77.0,98.5,65.0,96.5,1595,3280
293,2024-03-04,100.0,108.75,97.5,97.5,12,559
294,2024-03-05,103.25,103.25,87.5,99.0,23,514
295,2024-03-06,86.5,112.25,86.5,102.25,34,755
296,2024-03-07,83.0,103.0,83.0,101.75,174,690
297,2024-03-08,96.75,96.75,61.5,61.5,124,1074
298,2024-03-11,56.5,56.5,51.0,56.0,132,1128
299,2024-03-12,37.75,51.75,37.75,51.0,162,819
300,2024-03-13,57.75,57.75,49.5,49.5,302,1619
301,2024-03-14,64.25,64.25,40.25,47.25,320,1063
302,2024-03-15,74.75,74.75,48.25,50.75,171,896
303,2024-03-18,39.0,60.5,39.0,47.25,571,627
304,2024-03-19,29.0,42.25,22.0,40.5,350,931
305,2024-03-20,17.0,32.75,17.0,30.75,737,1089
306,2024-03-21,32.75,41.25,29.75,29.75,3571,4338
307,2024-03-22,38.25,38.25,24.0,25.25,548,1115
308,2024-03-25,28.5,31.5,17.75,18.25,691,2423
309,2024-03-26,35.75,38.0,14.25,14.25,579,1338
310,2024-03-27,3.7,13.0,1.85,10.25,8723,3870
311,2024-03-28,8.5,12.0,1.75,1.75,13032,0
312,2024-04-01,80.0,80.0,59.75,62.0,146,1498
313,2024-04-02,66.0,68.25,58.25,68.25,33,340
314,2024-04-03,57.5,69.25,57.5,64.25,153,484
315,2024-04-04,118.75,118.75,72.5,72.75,273,1081
316,2024-04-05,54.5,78.75,54.0,72.5,1394,1648
317,2024-04-08,72.0,72.0,64.75,64.75,190,1631
318,2024-04-09,61.5,69.5,46.25,62.25,135,703
319,2024-04-10,60.5,63.5,55.0,62.5,180,296
320,2024-04-11,58.75,68.0,58.75,60.5,66,513
321,2024-04-12,90.0,90.0,64.5,64.5,172,217
322,2024-04-15,120.5,125.0,69.5,71.25,240,841
323,2024-04-16,71.25,73.0,63.5,64.75,61,45
